Datetime,Value
2012-08-31,60.5
2012-09-30,76.5556
2012-10-31,81.8182
2012-11-30,66.0
2012-12-31,49.8889
2013-01-31,49.625
2013-02-28,38.4
2013-03-31,53.7143
2013-04-30,41.5556
2013-05-31,39.9
2013-06-30,52.375
2013-07-31,52.8
2013-08-31,57.5714
2013-09-30,65.2222
2013-10-31,81.1
2013-11-30,55.4444
2013-12-31,40.1429
2014-01-31,21.6667
2014-02-28,39.3636
2014-03-31,53.0
2014-04-30,53.6667
2014-05-31,62.0
2014-06-30,71.0769
2014-07-31,64.8333
2014-08-31,77.8
2014-09-30,75.5455
2014-10-31,83.8571
2014-11-30,57.8333
2014-12-31,48.5
2015-01-31,53.3
2015-02-28,68.0
2015-03-31,38.1111
2015-04-30,50.25
2015-05-31,52.7
2015-06-30,58.3333
2015-07-31,57.5
2015-08-31,67.0
2015-09-30,68.9
2015-10-31,79.6667
2015-11-30,60.7273
2015-12-31,30.7
2016-01-31,34.5556
2016-02-29,35.625
